Age,Gender,Current Occupation,Monthly income salary or allowance,How often do you shop for groceries in a month?,How much do you spend on groceries every month?,What grocery stores do you usually buy your necessities from? (Select all that apply),What primary factors do you find important in a  grocery store? (Select all that apply),What payment methods do you use in paying for groceries? (Select all that apply),Among the following when do you usually take a trip to the grocery store?,What would be the duration that you typically spend in a grocery store?,Which among the following products and goods do you usually buy? (Select all that apply),Which section of a grocery store do you spend the most time during a typical visit? (Select all that apply),Which section of a grocery store do you spend the least time during a typical visit? (Select all that apply),Which products do you usually forget when you go grocery shopping? (Select all that apply),Should there be a designated area for sampling new products in the store?,Should there be a designated area for products that have discounts and promotions?,Where should checkout counters be placed at?,Would you like express checkout lanes for customers with limited number of items?,Do you use baggage counters at the groceries you go at to leave your baggage?
13-17,Female,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","SaveMore, Victoria Supermarket, Puregold, SM Supermarket, Tiongsan Supermarket","Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Brand Loyalty: Preferring specific brands or stores, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items",Cash,Evening (4:00 PM - 8:00 PM),I don't keep track of time,"Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods","Frozen Foods: Frozen meals, ice cream, and frozen vegetables","Coffee, Spices, Snacks, Condiments","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","No, I prefer to keep my baggage with me at all times."
18-24,Male,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","Victoria Supermarket, Puregold, C and Triple A Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Quality: Ensuring freshness and good quality products, Location: Proximity to home or workplace, Health Preferences: Seeking organic, healthy, or specific dietary products, Customer Service: Friendly and helpful staff, Specialty Items: Unique or specialty products",Cash,Late Morning (10:00 AM - 12:00 PM),I don't keep track of time,"Deli/Meat: Cold cuts, cheeses, and meats","Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks","Household Supplies: Cleaning products, toiletries, and paper goods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Spices, Snacks, Condiments, Batteries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
18-24,Male,Student,"Below ₱10,957",Once a month,"Less than ₱5,000","SaveMore, Victoria Supermarket, Puregold, C and Triple A Supermarket, SM Supermarket, Tiongsan Supermarket","Price: Finding good deals and discounts, Location: Proximity to home or workplace, Health Preferences: Seeking organic, healthy, or specific dietary products, Product Quality: Fresh and high-quality items","Cash, Digital Wallets",Late Morning (10:00 AM - 12:00 PM),I don't keep track of time,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Beverages: Soft drinks, juices, water, and alcoholic beverages","Snacks: Chips, cookies, nuts, and snacks, Household Supplies: Cleaning products, toiletries, and paper goods","Milk, Spices, Snacks, Batteries, Toiletries, Cleaning Supplies","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
13-17,Male,Student,"Below ₱10,957",Once a month,"Less than ₱5,000","Robinsons Supermarket, C and Triple A Supermarket, SM Supermarket, Tiongsan Supermarket","Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Store Atmosphere: Pleasant shopping environment",Cash,Late Morning (10:00 AM - 12:00 PM),1-2 hours,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Beverages: Soft drinks, juices, water, and alcoholic beverages, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Household Supplies: Cleaning products, toiletries, and paper goods","Fresh Produce: Fruits, vegetables, and fresh herbs","Cheese, Snacks, Condiments, Batteries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
18-24,Male,Employed (part-time),"₱21,914 to ₱43,828",Once a month,"Less than ₱5,000",SM Supermarket,"Price: Finding good deals and discounts, Cleanliness: Well-maintained and organized store, Product Quality: Fresh and high-quality items",Debit Card,Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Beverages: Soft drinks, juices, water, and alcoholic beverages","Dairy: Milk, cheese, yogurt, and eggs, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods","Pantry Staples: Canned goods, grains, pasta, and sauces",Milk,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","No, I prefer to keep my baggage with me at all times."
18-24,Male,Unemployed,"Below ₱10,957",Once a month,"Less than ₱5,000","Sunshine Supermarket, Victoria Supermarket, Puregold, C and Triple A Supermarket, SM Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace",Cash,Late Morning (10:00 AM - 12:00 PM),30 minutes to 1 hour,"Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables","Household Supplies: Cleaning products, toiletries, and paper goods","Spices, Snacks, Condiments","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location."
18-24,Female,Student,"Below ₱10,957",Once a month,"Less than ₱5,000","Sunshine Supermarket, Victoria Supermarket, Puregold, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Store Atmosphere: Pleasant shopping environment",Cash,Afternoon (12:00 PM - 4:00 PM),1-2 hours,"Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces","Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Spices, Snacks, Condiments, Batteries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
35-44,Male,Freelancer,"Below ₱10,957",More than three times a week,"₱5,000 - ₱10,000",Sunshine Supermarket,Convenience: Easy access to essential items,Cash,Late Morning (10:00 AM - 12:00 PM),30 minutes to 1 hour,"Pantry Staples: Canned goods, grains, pasta, and sauces, Beverages: Soft drinks, juices, water, and alcoholic beverages","Fresh Produce: Fruits, vegetables, and fresh herbs, Dairy: Milk, cheese, yogurt, and eggs","Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables","Milk, Eggs","No, integrate sampling throughout the store","No, integrate discounted products throughout the store",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
18-24,Male,Student,"Below ₱10,957",Once a month,"₱5,000 - ₱10,000","Puregold, SM Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store",Cash,Late Morning (10:00 AM - 12:00 PM),Less than 15 minutes,"Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods","Fresh Produce: Fruits, vegetables, and fresh herbs, Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables","Milk, Bread, Eggs, Toilet Paper, Condiments","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
18-24,Male,Student,"₱10,957 to ₱21,914",Once a month,"₱10,001 - ₱15,000","SaveMore, Puregold, SM Supermarket","Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace",Cash,Late Morning (10:00 AM - 12:00 PM),30 minutes to 1 hour,"Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Snacks: Chips, cookies, nuts, and snacks","Deli/Meat: Cold cuts, cheeses, and meats, Household Supplies: Cleaning products, toiletries, and paper goods",Bread,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane",I haven't used baggage counters before but might consider it in the future.
18-24,Female,Student,"Below ₱10,957",Once a month,"Less than ₱5,000","Robinsons Supermarket, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout","Cash, Debit Card",Evening (4:00 PM - 8:00 PM),1-2 hours,"Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks","Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces","Snacks: Chips, cookies, nuts, and snacks","Spices, Condiments","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",In a centralized location for easy visibility,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location."
18-24,Female,Student,"Below ₱10,957",Once a month,"Less than ₱5,000","Robinsons Supermarket, SM Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Brand Loyalty: Preferring specific brands or stores, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout",Cash,Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods","Health & Wellness: Vitamins, supplements, and health foods","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Toilet Paper, Toiletries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location."
18-24,Female,Student,"Below ₱10,957",Once a month,"Less than ₱5,000",Tiongsan Supermarket,"Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Brand Loyalty: Preferring specific brands or stores, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout","Cash, Debit Card",Morning (6:00 AM - 10:00 AM),Less than 15 minutes,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats","Beverages: Soft drinks, juices, water, and alcoholic beverages",Eggs,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",In a centralized location for easy visibility,"Yes, introduce a dedicated express lane","No, I prefer to keep my baggage with me at all times."
18-24,Female,Student,"Below ₱10,957",Once a week,"₱5,000 - ₱10,000",Tiongsan Supermarket,"Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Product Quality: Fresh and high-quality items","Cash, Mobile Payment Apps (GCash, Paymaya, GoTyme, and others)",Late Morning (10:00 AM - 12:00 PM),30 minutes to 1 hour,"Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks","Health & Wellness: Vitamins, supplements, and health foods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Batteries, Cleaning Supplies","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
18-24,Female,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","SaveMore, Victoria Supermarket, SM Supermarket, Tiongsan Supermarket, 5 Cent up Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Location: Proximity to home or workplace, Cleanliness: Well-maintained and organized store, Product Quality: Fresh and high-quality items, Store Atmosphere: Pleasant shopping environment",Cash,Afternoon (12:00 PM - 4:00 PM),15-30 minutes,"Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks","Fresh Produce: Fruits, vegetables, and fresh herbs, Bakery: Bread, pastries, and baked goods, Health & Wellness: Vitamins, supplements, and health foods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Milk, Bread, Condiments, Toiletries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",In a centralized location for easy visibility,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
18-24,Female,Student,"Below ₱10,957",Once a month,"Less than ₱5,000",SM Supermarket,"Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Store Atmosphere: Pleasant shopping environment","Cash, Online Banking Transfers",Evening (4:00 PM - 8:00 PM),30 minutes to 1 hour,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Health & Wellness: Vitamins, supplements, and health foods","Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks","Beverages: Soft drinks, juices, water, and alcoholic beverages",Milk,"No, integrate sampling throughout the store","No, integrate discounted products throughout the store",Near the entrance for quick access,"No, don't introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
18-24,Female,Student,"Below ₱10,957",Once a week,"₱5,000 - ₱10,000","SaveMore, Tiongsan Supermarket","Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Location: Proximity to home or workplace, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items",Cash,Late Morning (10:00 AM - 12:00 PM),15-30 minutes,"Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Frozen Foods: Frozen meals, ice cream, and frozen vegetables","Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Bread, Cleaning Supplies","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",In a centralized location for easy visibility,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
18-24,Female,Student,"₱21,914 to ₱43,828",Twice a month,"₱5,000 - ₱10,000","SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Brand Loyalty: Preferring specific brands or stores, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout","Cash, Debit Card, Mobile Payment Apps (GCash, Paymaya, GoTyme, and others)",Afternoon (12:00 PM - 4:00 PM),1-2 hours,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Fresh Produce: Fruits, vegetables, and fresh herbs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks","Dairy: Milk, cheese, yogurt, and eggs, Health & Wellness: Vitamins, supplements, and health foods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Bread, Snacks, Condiments","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
35-44,Female,Employed (full-time),"₱43,828 to ₱76,669",Once a month,"₱10,001 - ₱15,000","Robinsons Supermarket, SaveMore, SM Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Brand Loyalty: Preferring specific brands or stores, Cleanliness: Well-maintained and organized store, Product Quality: Fresh and high-quality items, Store Atmosphere: Pleasant shopping environment","Cash, Debit Card",Late Morning (10:00 AM - 12:00 PM),1-2 hours,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Fresh Produce: Fruits, vegetables, and fresh herbs, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Milk, Bread, Eggs, Toilet Paper, Fresh Vegetables, Fresh Fruits, Cheese, Butter, Coffee, Snacks, Condiments, Toiletries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
35-44,Male,Employed (full-time),"₱131,484 to ₱219,140",Once a month,"₱15,001 - ₱20,000","Sunshine Supermarket, Victoria Supermarket, Puregold, C and Triple A Supermarket, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout","Cash, Debit Card, Credit Card",Late Morning (10:00 AM - 12:00 PM),More than 2 hours,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Fresh Produce: Fruits, vegetables, and fresh herbs, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces","Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods",Condiments,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
25-34,Female,Employed (full-time),"₱43,828 to ₱76,669",Once a month,"₱5,000 - ₱10,000","Puregold, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Location: Proximity to home or workplace, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment","Cash, Credit Card",Late Morning (10:00 AM - 12:00 PM),1-2 hours,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces","Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Condiments, Batteries, Toiletries, Cleaning Supplies","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
18-24,Female,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","Sunshine Supermarket, Victoria Supermarket, Puregold, SM Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace",Cash,Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables","Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Spices, Snacks, Condiments","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location."
18-24,Female,Student,"Below ₱10,957",Once a month,"Less than ₱5,000","SaveMore, Sunshine Supermarket, Victoria Supermarket, Puregold, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Brand Loyalty: Preferring specific brands or stores, Product Quality: Fresh and high-quality items",Cash,Afternoon (12:00 PM - 4:00 PM),1-2 hours,"Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Specialty Sections: Ethnic foods, organic products, and gluten-free items","Spices, Snacks, Condiments, Batteries","Yes, create a dedicated sampling station","No, integrate discounted products throughout the store",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
